mod_text,spam,category
Groww: Your ICICI Prudential Value Discovery SIP installment of Rs 89 is due on the 5th. Ensure sufficient balance in your linked bank account. Auto-debit will be attempted at 9 AM.,0,legit
"Your Canara Bank EMI of Rs 1,200 for account ending 6666 has been successfully debited. Thank you for your timely payment. Remaining tenure: 24 months.",0,legit
"Your BSNL recharge of Rs 249 is confirmed. Benefits: Unlimited calls, 1.5 GB/day data, 100 SMS/day. Validity: 56 days. Enjoy uninterrupted connectivity.",0,legit
Your Bank of India recurring deposit of Rs 89/month has been debited on 05-May-2026. Maturity date: 12 months from start. Interest rate: 6.5% p.a. View in the Bank of India app.,0,legit
Axis Bank net banking password reset required. Our security team detected an unauthorized login attempt. Reset now at axis-reset.net to prevent account lockout.,1,bank_phishing
URGENT Indian Overseas Bank Notice: Credit card ending 3333 will be permanently deactivated in 6 hours if KYC is not completed. Update now: iob-kyc.net,1,bank_phishing
Congratulations! Your mobile number was selected in the KBC Season 15 Mega Lucky Draw. You have won Rs 10 lakh. Pay a processing fee of Rs 499 to claim your prize.,1,financial_fraud
"I have sent you a gift package from USA full of expensive items. The courier is holding it and asking for Rs 40,000 in customs fees. Please pay it and I will reimburse you fully.",1,romance_parcel_sextortion
"I am Vikram, a nurse working in Singapore. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",1,romance_parcel_sextortion
"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 1 crore. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",1,financial_fraud
"India Post Customs Notice: A package addressed to you from London has been seized. It contains items exceeding the duty-free limit. Pay Rs 25,000 or it will be destroyed in 48 hours.",1,financial_fraud
I have sent you a gift package from Singapore full of expensive items. The courier is holding it and asking for Rs 1.5 lakh in customs fees. Please pay it and I will reimburse you fully.,1,romance_parcel_sextortion
"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 50 lakh. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",1,financial_fraud
"I am Pooja, a nurse working in Canada. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",1,romance_parcel_sextortion
"I am Priya, an army officer deployed abroad in Australia. I have discovered Rs 10,000 in gold and cash here. Help me transfer it to India safely and I will give you 30% of everything.",1,romance_parcel_sextortion
"ICICI Bank: A UPI payment of Rs 250 was successfully sent from account ending 7832 to Reliance Fresh via BHIM UPI. If not done by you, report on the ICICI Bank app immediately.",0,legit
We have a court order to seize your assets in connection with a narcotics trafficking case. Ministry of Home Affairs officers are en route to your address. Cooperate by calling back immediately to halt the action.,1,government_impersonation
"Zerodha: Your order to buy 10 shares of WIPRO at Rs 1,450 has been executed. Contract note will be sent to your registered email. For details, view your portfolio.",0,legit
"We have recorded your screen while you visited an adult website. Pay Rs 15,000 in Bitcoin within 30 minutes or the video will be sent to all your contacts and your employer immediately.",1,romance_parcel_sextortion
"Your Vi recharge of Rs 719 is confirmed. Benefits: Unlimited calls, 1.5 GB/day data, 100 SMS/day. Validity: 365 days. Enjoy uninterrupted connectivity.",0,legit
Myntra Return Update: Your return request for order #244269792 has been approved. Pickup scheduled for today. Refund will be processed after quality check.,0,legit
Your Voter ID has been found in a database seized during a drug trafficking raid. Sub-Inspector Priya Mehta from Narcotics Control Bureau requires your immediate cooperation. Failure to comply will result in prosecution.,1,government_impersonation
"My darling, I am stuck at the Australia customs. They have seized my luggage with gifts for you worth lakhs. Please send Rs 25,000 as customs duty and I will reach you within 3 days.",1,romance_parcel_sextortion
"HDFC Bank: INR 89 credited to your a/c **5623 on 07-May-2026 by NEFT from Amazon. Updated bal: Rs 12,450. Ref: TXN3990865618. For details visit HDFC Bank mobile app.",0,legit
This is Sub-Inspector Neha Khanna from Delhi Police Cyber Cell. Your Driving License was used to open a fraudulent account used in drug trafficking. Report to our online portal within 20 minutes or a search warrant will be executed.,1,government_impersonation
"YouTube channel promoter wanted: get paid Rs 5,000 per video you watch and rate. Work from home, flexible hours, daily payout. Join our platform today by paying Rs 999.",1,financial_fraud
Airtel Bill Reminder: Your bill of Rs 380 for the month of April is due on 20-May. Pay now via the Airtel app to earn 100 reward points. Thank you.,0,legit
"Collect money on BHIM UPI: Someone has sent you Rs 25,000. To receive it, enter your UPI PIN on the secure link: bhimupi-collect-upi2026.in. Offer expires in 20 minutes.",1,financial_fraud
"Federal Bank: A transaction of Rs 10,000 was attempted from your account. If not done by you, reverse it here: federal-fraud.in/report",1,bank_phishing
"Axis Bank Alert: Rs 999 debited from account ending 4821 at Reliance Fresh on 05-May. Available balance: Rs Rs 8,900. If not done by you, call Axis Bank helpline immediately.",0,legit
"KBC Lottery Board: Your WhatsApp number has been selected for the grand prize of Rs 10 lakh. Pay a one-time processing and tax clearance fee of Rs 5,000 to receive your prize.",1,financial_fraud
You are being investigated for money laundering by the Delhi Police Cyber Cell. This is your final opportunity to cooperate before a non-bailable warrant is served at your registered address.,1,government_impersonation
This is an automated notice from the Enforcement Directorate. Your Passport has been flagged for tax evasion. You have 15 minutes to report online or a physical warrant will be issued.,1,government_impersonation
Your IndusInd Bank credit card limit has been reduced to zero pending KYC verification. Complete verification in 12 hours to restore your full limit at indusind-limit.in.,1,bank_phishing
"Your Union Bank of India savings account **0123 interest of Rs 120 has been credited on 12-May-2026. Current balance: Rs 2,34,560. Thank you for banking with Union Bank of India.",0,legit
"Lucky Winner Alert: Your number was drawn in the Flipkart Big Billion Days cashback lottery. Prize: USD 50,000. Pay Rs 2,500 as a refundable security deposit to claim.",1,financial_fraud
Auto-debit success: Rs 120 debited from Federal Bank a/c **1111 for AJIO subscription renewal on 07-May-2026. Next debit: same date next month. Txn ref: TXN5681653546.,0,legit
Alert from RBI Cybercrime Division: suspicious cybercrime activity detected linked to your Aadhaar. Your cooperation is mandatory under the IT Act. Do not disconnect or share this information with anyone.,1,government_impersonation
"Our Ethereum staking program on WazirX locks your coins for 90 days and returns 80% APY. No risk. Principal guaranteed by our licensed financial firm. Minimum stake: Rs 50,000.",1,financial_fraud
"Our forex trading bot doubled accounts last month with 40% gains. Fully automated, risk-free trading. Invest Rs 10,000 and our AI handles everything. Monthly payouts guaranteed.",1,financial_fraud
Kotak Bank: Your FD of Rs 450 has matured today. The maturity amount has been credited to your savings account ending 0001. Thank you for banking with Kotak Bank.,0,legit
"Rs 120 transferred from your HDFC Bank account ending 3333 to Flipkart. Transaction ID: TXN1939946605. Balance: Rs Rs 45,670. For queries, use HDFC Bank official app or website.",0,legit
"IMPS Transfer Alert: Rs 3,500 successfully sent from Union Bank of India account ending 3333. Beneficiary name: Swiggy. Ref no: TXN8247868005. Keep this reference for your records.",0,legit
Your gold bond redemption of Rs 120 has been credited to your Bank of India account ending 7777 today. This completes your sovereign gold bond maturity. Thank you.,0,legit
"This is Flipkart senior management. You have been anonymously nominated for a loyalty bonus of Rs 15,000. To claim, verify your identity by paying Rs 3,000 as a one-time processing fee.",1,financial_fraud
"Amazon reseller program: earn Rs 15,000 per month by listing products on our portal. Registration fee: Rs 800. Training and product catalog provided on day 1. Apply now.",1,government_impersonation
This is Sub-Inspector Kavita Joshi from RBI Cybercrime Division. Your PAN card was used to open a fraudulent account used in identity theft. Report to our online portal within 20 minutes or a search warrant will be executed.,1,government_impersonation
"Our SEBI-registered fund manager has maintained a 15% win rate over 18 months. Invest Rs 5,000 today and receive guaranteed monthly returns. Limited slots remaining.",1,financial_fraud
Cashback of Rs 75 credited to your Google Pay wallet for your transaction at Amazon. Valid for 30 days. View offers in the Google Pay Rewards section.,0,legit
IndusInd Bank EMI Alert: Rs 850 debited from a/c **4444 toward your personal loan EMI on 10-May-2026. Remaining tenure: 6 months. Thank you for timely repayment.,0,legit
"HDFC Bank: INR 250 credited to your a/c **7777 on 01-Jun-2026 by NEFT from Myntra. Updated bal: Rs 12,450. Ref: TXN5095045903. For details visit HDFC Bank mobile app.",0,legit
"NCB has intercepted a package registered to your Voter ID containing narcotics. DCP Deepak Verma is on the line. Transfer Rs 25,000 as a compliance bond to avoid a press release.",1,government_impersonation
"IRDAI Notice: Your insurance claim of Rs 5 lakh has been approved. To disburse the funds, submit a processing fee of Rs 999 at irdai-claims.net within 12 hours to avoid claim expiry.",1,financial_fraud
Cashback of Rs 5 credited to your PhonePe wallet for your transaction at Myntra. Valid for 30 days. View offers in the PhonePe Rewards section.,0,legit
"Join our premium investment community. Our strategies delivered 40% returns last quarter. Entry fee: Rs 499. Includes live signals, charts, and expert support 24/7.",1,financial_fraud
"Kotak Bank: Your FD of Rs 1,500 has matured today. The maturity amount has been credited to your savings account ending 0123. Thank you for banking with Kotak Bank.",0,legit
"This is your Yes Bank security officer. To freeze an unauthorized transaction of Rs 15,000 on your account, please share the 6-digit OTP just sent to your mobile number.",1,bank_phishing
Kotak Bank: Your account ending 9012 is scheduled for closure due to inactivity and incomplete KYC. Reactivate within 4 hours at kotak-reactivate.in.,1,bank_phishing
The Delhi Police Cyber Cell has filed a charge sheet naming your mobile number in a tax evasion case worth crores. You have 20 minutes to appear before our online court or face immediate consequences.,1,government_impersonation
Reliance Fresh: Your wishlist item is now available again! Backpack is back in stock. Add to cart before it sells out again. Limited units available.,0,legit
Your HDFC Bank Visa card ending 2222 has been compromised. We have blocked it temporarily. Issue a new card by verifying at hdfc-card.net/replace.,1,bank_phishing
Your Aadhaar OTP for e-KYC verification is 862889. This OTP is valid for 10 minutes. UIDAI and government agencies will NEVER ask for this OTP over the phone.,0,legit
This is Enforcement Directorate. You have been named as a suspect in a money laundering investigation. Your Passport was recovered at a crime scene. Share your location or pay Rs 1.5 lakh to clear your name.,1,government_impersonation
"Your vehicle third-party insurance has a pending cashback of Rs 1 lakh from last year's excess premium. Pay Rs 3,000 as processing fee at the portal to receive the refund immediately.",1,financial_fraud
This is a notice from the CBI cybercrime division. Your IP address was used to conduct foreign exchange violation. You have 45 minutes to submit a compliance report or face immediate arrest.,1,government_impersonation
Urgent notice: Delhi Police Cyber Cell has registered a First Information Report against you for foreign exchange violation. Inspector Harish Singh is handling your case. Do not inform family or it will be treated as obstruction.,1,government_impersonation
Your Zepto order #300942397 has been cancelled as requested. A refund of Rs 450 will be credited to your original payment method within 5–7 business days.,0,legit
"USDT flash loan opportunity: borrow Rs 15,000 worth of Solana interest-free for 24 hours to execute a one-time arbitrage trade returning 40%. No collateral needed to get started.",1,financial_fraud
Myntra: Your wishlist item is now available again! Cotton T-Shirt is back in stock. Add to cart before it sells out again. Limited units available.,0,legit
"Your Bank of Baroda account has been flagged by our fraud team. To prevent unauthorized access, verify your details at bankofbaroda-portal.in within 24 hours.",1,bank_phishing
"Our Solana staking program on KuCoin locks your coins for 90 days and returns 100% APY. No risk. Principal guaranteed by our licensed financial firm. Minimum stake: Rs 10,000.",1,financial_fraud
"MLM opportunity: invest Rs 5,000 and build your passive income team. Earn commission on 5 levels. Top earners make Rs 5,000 monthly with zero active work required.",1,financial_fraud
Jio Alert: Your mobile number ending 9871 has been successfully ported. Your new Jio SIM is now active. Please restart your phone to start using Jio services.,0,legit
Your phone number has been traced to illegal narcotics trafficking operations. Inspector Anita Sharma from Interpol is conducting this investigation. This call is being recorded as evidence.,1,government_impersonation
"Part-time typist needed: type 5 pages per day and earn Rs 25,000 per month. Work at your own pace. Pay Rs 999 for sample pages and receive your first payment within the week.",1,government_impersonation
PNB EMI Alert: Rs 89 debited from a/c **5623 toward your personal loan EMI on 06-May-2026. Remaining tenure: 36 months. Thank you for timely repayment.,0,legit
Your OTP for Federal Bank card transaction is 358410. Valid for 5 minutes. Do not share with anyone. Beware of fraudsters.,0,legit
"Your income tax refund of Rs 2,000 for AY 2025-26 has been processed. It will be credited to your Kotak Bank account ending 0123 within 3-5 business days. Ref: ITR-TXN4622748578.",0,legit
Your mobile number has appeared in a illegal transactions money trail. TRAI has frozen your financial accounts pending investigation. Cooperate now by calling back to verify your identity.,1,government_impersonation
