id,text,label,category,category_name
1,Groww: Your ICICI Prudential Value Discovery SIP installment of Rs 89 is due on the 5th. Ensure sufficient balance in your linked bank account. Auto-debit will be attempted at 9 AM.,0,0,legit
2,"Your Canara Bank EMI of Rs 1,200 for account ending 6666 has been successfully debited. Thank you for your timely payment. Remaining tenure: 24 months.",0,0,legit
3,"Your BSNL recharge of Rs 249 is confirmed. Benefits: Unlimited calls, 1.5 GB/day data, 100 SMS/day. Validity: 56 days. Enjoy uninterrupted connectivity.",0,0,legit
4,Your Bank of India recurring deposit of Rs 89/month has been debited on 05-May-2026. Maturity date: 12 months from start. Interest rate: 6.5% p.a. View in the Bank of India app.,0,0,legit
5,Axis Bank net banking password reset required. Our security team detected an unauthorized login attempt. Reset now at axis-reset.net to prevent account lockout.,1,3,bank_phishing
6,URGENT Indian Overseas Bank Notice: Credit card ending 3333 will be permanently deactivated in 6 hours if KYC is not completed. Update now: iob-kyc.net,1,3,bank_phishing
7,Congratulations! Your mobile number was selected in the KBC Season 15 Mega Lucky Draw. You have won Rs 10 lakh. Pay a processing fee of Rs 499 to claim your prize.,1,2,financial_fraud
8,"I have sent you a gift package from USA full of expensive items. The courier is holding it and asking for Rs 40,000 in customs fees. Please pay it and I will reimburse you fully.",1,4,romance_parcel_sextortion
9,"I am Vikram, a nurse working in Singapore. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",1,4,romance_parcel_sextortion
10,"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 1 crore. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",1,2,financial_fraud
11,"India Post Customs Notice: A package addressed to you from London has been seized. It contains items exceeding the duty-free limit. Pay Rs 25,000 or it will be destroyed in 48 hours.",1,2,financial_fraud
12,I have sent you a gift package from Singapore full of expensive items. The courier is holding it and asking for Rs 1.5 lakh in customs fees. Please pay it and I will reimburse you fully.,1,4,romance_parcel_sextortion
13,"Lucky winner! You have won the Airtel monthly subscriber prize of Rs 50 lakh. To receive your reward, pay the standard processing fee of Rs 5,000 and provide your bank account details.",1,2,financial_fraud
14,"I am Pooja, a nurse working in Canada. I found your profile online. I have valuable assets worth crores I wish to transfer to India. Help me and I will share 40% with you.",1,4,romance_parcel_sextortion
15,"I am Priya, an army officer deployed abroad in Australia. I have discovered Rs 10,000 in gold and cash here. Help me transfer it to India safely and I will give you 30% of everything.",1,4,romance_parcel_sextortion
